# x0 (bohr), y0, z0, x1, y1, z1, x2, y2, z2, x3, y3, z3, V (hartree)
-1.183883181930322825e+00,-1.464994274115379580e-01,-9.631255967792295536e+00,1.183902906829657153e+00,1.464952088350608139e-01,-9.360135348196715555e+00,2.355000699288770927e-01,-3.932075350342076336e-01,8.522043034594696920e+00,-2.355197870192463627e-01,3.932117699552670209e-01,1.046934833134532994e+01,-2.249375040999999076e-01
-1.008935233367454609e+00,-1.573363103456675571e-01,-5.059926972239797927e+00,1.009099011881378738e+00,1.572544767011508082e-01,-4.940063240836927605e+00,1.627358065864654979e-01,-3.667260649198880174e-01,4.076902965280647884e+00,-1.628995766436260595e-01,3.668079396395243497e-01,5.923087312934917747e+00,-2.690026370000000444e-01
-1.016002526051174693e+00,-1.457356376837171674e-01,-2.296375834994336174e+00,1.002508812262451698e+00,2.340268643168351426e-01,-2.324512727200604534e+00,1.081892730970739208e-01,-4.170868647184684530e-01,1.755184067561601502e+00,-9.469554958319437166e-02,3.287956962753335599e-01,2.865704567333433594e+00,-3.023630186999997083e-01
-1.231562281625467214e+00,3.803074908819370492e-02,-6.561088407351493679e+00,1.109449494385496005e+00,5.868181521829293201e-01,-6.864174560483168541e+00,1.791178092266263455e-01,-8.492437733466745575e-01,6.962354138830026073e+00,-5.700500866865496757e-02,2.243949462753216384e-01,6.462908904524553577e+00,-2.634739900999998330e-01
-2.361750226567408406e-01,-1.895086478497608751e-01,-7.102155517877861257e+00,2.361651651389889139e-01,1.895382799973024945e-01,-6.071633030419333998e+00,-1.866517743019345255e-01,1.618555360914890606e-01,7.393840392418741025e+00,1.866617569965609291e-01,-1.618852584240570991e-01,5.779948234397679130e+00,-3.246533777000000232e-01
-1.655023296409572076e-01,-1.615253655307634095e-01,-3.467145163391180063e+00,1.667706377954717156e-01,1.632262331927392951e-01,-2.743224851844456413e+00,2.697538611722762741e-02,3.420385136527310799e-01,3.683843151062141885e+00,-2.824353112537450125e-02,-3.437395083804994922e-01,2.526526977880520164e+00,-2.305706638999998059e-01
8.329978236775312239e-02,1.016963953565555023e-01,-2.702702174614911801e+00,5.102404887480859186e-01,6.791356202912787188e-01,-3.878238389769310235e+00,-3.774303836834583259e-02,1.246150805770687847e-01,3.241688598306514013e+00,-5.557970287628229977e-01,-9.054472545154866880e-01,3.339252117269723819e+00,-3.306954839999998175e-01
1.184492928649739429e+00,1.525611243913993276e+00,-6.466239867836470090e+00,3.752017647088529695e-01,5.322923251851297000e-01,-5.797432035413276452e+00,-6.866224666699236590e-01,-1.112689110027171857e+00,5.405564159111033717e+00,-8.730719690023360791e-01,-9.452146591806804832e-01,6.858107931618103947e+00,-3.448537901999999544e-01
7.750182024548636361e-01,1.097276415732188370e+00,-9.021453897568648017e+00,1.750627746995141454e+00,2.237334565136133158e+00,-8.924608391498187743e+00,-1.643259301166385189e+00,-2.451378404224227925e+00,8.965982201020620934e+00,-8.823863307987357407e-01,-8.832328347059705820e-01,8.980080306766694775e+00,-3.295614928999996973e-01
1.402192056377630447e+00,-4.994505182607524296e-01,-1.026765499260036485e+01,-1.402177450231784750e+00,4.994257631709320133e-01,-9.067438497541704834e+00,2.990263766072712714e-01,5.320428032676356445e-01,1.042878425519915808e+01,-2.990410516480668246e-01,-5.320178567244211454e-01,8.906309165841429731e+00,-1.861052812999999251e-01
7.124612380651657029e-01,-4.750580112656575538e-01,-8.426392149357674555e+00,-7.124762709285981099e-01,4.750457039221574473e-01,-5.817201439688269637e+00,1.839223083982397255e-01,7.705462289290202493e-01,7.501355946295094057e+00,-1.839073644134400221e-01,-7.705336941550250396e-01,6.742237543616762530e+00,-2.067597563000000971e-01
-2.093682793218858695e-01,-2.710982472645758201e-01,-6.044409245984356360e+00,2.094363909603244589e-01,2.710917442052307447e-01,-3.105585990691662523e+00,4.903380301446826073e-02,6.795136850204650525e-01,4.583149150842321440e+00,-4.910203380374289495e-02,-6.795069250369141223e-01,4.566845964576636163e+00,-2.283490208999998661e-01
-9.882082484563553537e-01,2.216407625746070337e-02,-3.167266888789586954e+00,1.080986280802432642e+00,-3.578789799944655931e-02,-1.560891789996641910e+00,-1.633978532947249762e-01,9.734850202245929340e-01,1.962996762471738599e+00,7.061967205908420420e-02,-9.598609178567396594e-01,2.765161776249627668e+00,-2.073543962999997436e-01
8.828357860404752178e-02,7.249096191341031226e-02,-2.350225093075505090e+00,7.803113302308216648e-01,-2.543339504109833893e-01,-5.205131636242294135e+00,-6.474559152707670684e-01,6.002701390487594768e-01,3.634395217111493714e+00,-2.211391554259388992e-01,-4.184268516836485152e-01,3.920961344574769747e+00,-2.148459304999998931e-01
2.339550619823411282e+00,-2.679529349891592860e-01,-5.552810228357611066e+00,-7.016522727033381868e-01,-1.183457229313926856e-01,-6.539507907828167710e+00,-1.353577536517355018e+00,9.689702793100546385e-01,6.080565980891144306e+00,-2.843209799006169436e-01,-5.826713033820852816e-01,6.011751961130712196e+00,-1.921927606000000122e-01
