a,k,PMI,fit0,fit1,fit2,fit3,fit4
1.0,1,tc,32.288685555053874,47.716768662802615,22.528180325778067,33.65786247093756,31.09332037631372
1.0,2,tr,16.248206878727682,19.657142232213186,14.428924981127963,15.21600305764049,17.93439403195762
1.0,2,tc,0.3495724908234137,3.812491182967468,0.33044501208435556,1.5517876583894235,1.784371599294782
1.0,3,tr,-32.87748217053139,-39.79750918435083,-34.242672460877664,-30.424038414144547,-53.19951660655904
1.0,3,tc,-31.825487369022063,-47.66193147979285,-30.324042365913876,-27.971631686400848,-38.92414949541527
1.0,4,tr,-71.32144181843167,7.307110816423151,-49.11114919931341,-44.83920128828572,-68.55900806485809
1.0,4,tc,46.86942704116358,125.30462112873947,56.93304810980513,41.49102990011426,31.777488068485226
1.0,5,tr,548.7468251732201,410.69991989374023,557.4738954340438,535.0006781509182,885.974662030524
1.0,5,tc,388.0212022334215,356.48338377416314,412.0368744702985,350.91217393517553,562.4110885006216
1.0,6,tr,-379.39747751394003,-1153.618145911095,-969.5754237411502,-620.2538014759435,-1008.0456902514901
1.0,6,tc,-1402.4356640044186,-2161.2901253045175,-1934.9960159201648,-1324.6761517823957,-1886.5441636131777
1.0,7,tr,-2441.6027640056445,448.57798144139804,-514.7482530460261,-2063.201695846273,-3886.454365565907
1.0,7,tc,-1343.032004483238,829.5587878452408,196.26940004606473,-822.9794684961156,-1355.3909782976
1.0,8,tr,6029.846659021772,3742.285277979752,4257.339283813531,5225.893529074502,8747.79093045442
1.0,8,tc,12760.493266268408,10027.812566281576,11003.000218342571,10694.287800815602,15045.80640338894
1.0,9,tr,-7153.721322621044,-7035.855654843395,-7691.755040266315,-4563.633911579491,-3608.875195999527
1.0,9,tc,-12140.40676559798,-11186.882816481588,-11486.50069831376,-10852.004381864408,-15294.64726637363
1.0,10,tr,9428.748343571333,8320.485221689385,9915.355057826364,8536.338944322973,7834.203652704331
1.0,10,tc,-14971.448695749108,-14304.376430713348,-14573.315740269212,-12886.773912766632,-16229.236815927823
1.0,11,tr,-3400.312245657414,-5660.351251135289,-3075.2661787030374,-5693.604310686321,-11314.05521135961
1.0,11,tc,7664.643995060191,9200.08292393977,7407.666121537949,8118.9290848222,12181.168542341642
1.0,12,tr,-10180.469191628712,-11284.786126365627,-10585.029982725315,-10644.49239610569,-11975.518748021637
1.0,12,tc,23586.228970064323,22408.60146517025,22984.934890809967,19620.006745038187,23011.044946527392
1.0,13,tr,2524.034562111728,1127.6204397934166,2754.329579415283,-177.67142721254262,-3199.6560576833976
1.5,1,tc,39.211797933217426,58.32223114946188,25.01629620647219,39.056460694481544,36.718456367528454
1.5,2,tr,-16.80745963142008,-23.950838954085178,-13.015036089290248,-17.14761453760123,-16.52316540565291
1.5,2,tc,3.4285056269601792,2.0792137580236045,2.5446257956714926,2.335148815767042,3.4448152871024096
1.5,3,tr,8.284950890842653,11.124428276353807,8.76973368191559,8.587808556003536,9.785161163802705
1.5,3,tc,-12.879541440385944,-6.09184290233393,-12.350399087302236,-10.260879909836817,-13.925849172253017
1.5,4,tr,-4.382872988471165,-16.431170691240915,-3.2552891677910836,-1.3704542510491073,-5.356704644801923
1.5,4,tc,18.784856473102835,-1.1256353732028757,20.65115690190222,23.237648349863242,17.97793685683066
1.5,5,tr,-8.121942314319554,8.61959514764767,-19.056429807222923,-43.131418955058315,-0.5843861683682303
1.5,5,tc,118.64641448471794,126.47431893112623,94.47187582392786,75.38199632366681,127.88577250683886
1.5,6,tr,-50.01389739752846,-42.05366722339271,-22.44433658455431,-14.296784029292596,-53.15454472715162
